time,pid,x,y,z
1645222114014,MC4267,-0.40612128,1.1003081,-0.5609474
1645222114034,MC4267,-0.42447603,1.1474451,-0.6942479
1645222114057,MC4267,-0.39953554,1.0434146,-0.69229656
1645222114077,MC4267,-0.11823861,1.1765321,-0.47911334
1645222114094,MC4267,0.084456146,1.4651465,-0.38977885
1645222114115,MC4267,-0.037380233,1.3972768,-0.36264312
1645222114135,MC4267,-0.1595215,1.074209,-0.2755039
1645222114156,MC4267,-0.31355488,0.97505695,-0.14384986
1645222114175,MC4267,-0.28989497,1.0409753,-0.12458044
1645222114195,MC4267,-0.16391201,1.0023756,-0.20489
1645222114214,MC4267,-0.046710044,0.9293835,-0.24202633
1645222114234,MC4267,0.0851879,0.8902959,-0.2845288
1645222114255,MC4267,0.19214536,0.92352957,-0.34678856
1645222114275,MC4267,0.18409613,1.0006682,-0.33654404
1645222114295,MC4267,0.05585692,1.0153642,-0.27233297
1645222114315,MC4267,-0.10750628,0.913285,-0.20562176
1645222114335,MC4267,-0.19220635,0.7579711,-0.20976834
1645222114356,MC4267,-0.22129342,0.61460906,-0.23080614
1645222114377,MC4267,-0.24227025,0.5574716,-0.24129458
1645222114395,MC4267,-0.18562059,0.5750945,-0.25422215
1645222114415,MC4267,-0.104823194,0.6578433,-0.24788032
1645222114435,MC4267,-0.054759298,0.79461956,-0.2503195
1645222114455,MC4267,-0.06085721,0.9157242,-0.2610518
1645222114475,MC4267,-0.10238402,0.9801792,-0.30453
1645222114495,MC4267,-0.19245026,0.96139765,-0.32922652
1645222114515,MC4267,-0.29550505,0.90572363,-0.3223359
1645222114535,MC4267,-0.35191077,0.8329145,-0.33093396
1645222114556,MC4267,-0.3700216,0.8024249,-0.32873872
1645222114576,MC4267,-0.3504473,0.79510736,-0.32800695
1645222114596,MC4267,-0.34117848,0.80730325,-0.32282373
1645222114616,MC4267,-0.37611952,0.8199869,-0.29135847
1645222114635,MC4267,-0.44325757,0.846147,-0.28550446
1645222114655,MC4267,-0.38977885,0.9570071,-0.29452938
1645222114677,MC4267,-0.07183346,1.2553781,-0.23787974
1645222114697,MC4267,0.2116587,1.5740553,-0.28696796
1645222114716,MC4267,0.10689649,1.6961355,-0.0368924
1645222114736,MC4267,0.03439225,1.5950321,0.14403279
1645222114757,MC4267,0.15988739,1.4065455,0.022928167
